case_id,decision,unsupported_claims_count,coverage_ratio,recomputation_fail_count,max_relative_error,mean_relative_error,scale_mismatch_count,period_mismatch_count,ambiguity_count,pnl_table_detected,pnl_identity_fail_count,pnl_margin_fail_count,pnl_missing_baseline_count,pnl_period_strict_mismatch_count
tatqa_pnl_00228,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00067,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00047,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00312,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00073,ACCEPT,0,1.0,0,1.2688263138573217e-16,1.2688263138573217e-16,0,0,0,1,0,0,0,0
tatqa_pnl_00086,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00218,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00220,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00054,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00027,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00263,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00223,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00209,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00260,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00026,ACCEPT,0,1.0,0,0.03420114952075616,0.03420114952075616,0,0,1,1,0,0,0,0
tatqa_pnl_00281,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00287,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00039,FLAG,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,2
tatqa_pnl_00183,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00325,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,2,0,0,0
tatqa_pnl_00147,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00354,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00075,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00011,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00252,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00169,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00081,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00214,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00180,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00119,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00219,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00097,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00092,REPAIR,0,1.0,0,0.04048582995951417,0.04048582995951417,0,0,1,1,2,0,0,0
tatqa_pnl_00035,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00317,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00038,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00326,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,2,0,0,0
tatqa_pnl_00333,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00202,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00114,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00020,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00078,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00095,ACCEPT,0,1.0,0,0.0072460315096643324,0.0072460315096643324,0,0,0,1,0,0,0,0
tatqa_pnl_00304,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00140,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00277,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00315,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00289,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00049,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00158,ACCEPT,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
tatqa_pnl_00107,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00106,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00199,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00313,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00128,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00229,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00174,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00152,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00012,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00291,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00070,ACCEPT,0,1.0,0,0.021400778210116732,0.021400778210116732,0,0,1,1,0,0,0,0
tatqa_pnl_00253,ACCEPT,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
tatqa_pnl_00210,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00285,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00071,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00144,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00010,REPAIR,0,1.0,0,0.020171387979916047,0.020171387979916047,0,0,1,1,2,0,0,0
tatqa_pnl_00245,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00349,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00247,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00244,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00208,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00160,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00251,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00216,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00100,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00123,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00032,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00335,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00157,ACCEPT,0,1.0,0,0.04,0.04,0,0,0,1,0,0,0,0
tatqa_pnl_00044,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00155,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00159,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00008,REPAIR,0,1.0,0,0.018895909006334286,0.018895909006334286,0,0,1,1,2,0,0,0
tatqa_pnl_00121,ACCEPT,0,1.0,0,0.02536997885835095,0.02536997885835095,0,0,0,1,0,0,0,0
tatqa_pnl_00205,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00279,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00148,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00007,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00094,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00320,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00060,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00124,ACCEPT,0,1.0,0,0.01621972430622258,0.01621972430622258,0,0,0,1,0,0,0,0
tatqa_pnl_00246,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00201,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00056,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00171,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00336,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00242,ACCEPT,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
tatqa_pnl_00025,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00318,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00104,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00134,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00101,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00063,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00168,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00267,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00198,ACCEPT,0,1.0,0,0.04068891280947255,0.04068891280947255,0,0,0,1,0,0,0,0
tatqa_pnl_00319,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00258,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00061,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00132,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00176,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00085,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,2,0,0,0
tatqa_pnl_00009,REPAIR,0,1.0,0,0.018091520318794053,0.018091520318794053,0,0,1,1,2,0,0,0
tatqa_pnl_00172,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00145,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00341,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00019,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00002,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00248,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00059,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00225,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00006,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00087,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00232,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00353,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00307,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00031,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00116,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00133,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00308,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00191,ACCEPT,0,1.0,0,0.019259259259259243,0.019259259259259243,0,0,0,1,0,0,0,0
tatqa_pnl_00250,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00321,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00293,ACCEPT,0,1.0,0,0.04595814526056623,0.04595814526056623,0,0,0,1,0,0,0,0
tatqa_pnl_00189,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00055,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00234,ACCEPT,0,1.0,0,0.008888888888888898,0.008888888888888898,0,0,0,1,0,0,0,0
tatqa_pnl_00243,ACCEPT,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
tatqa_pnl_00188,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00204,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00043,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00351,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00122,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00170,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00033,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00284,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00018,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00125,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00022,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00021,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00146,ACCEPT,0,1.0,0,0.010653702937525858,0.010653702937525858,0,0,1,1,0,0,0,0
tatqa_pnl_00179,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00015,ACCEPT,0,1.0,0,0.03840519045625785,0.03840519045625785,0,0,0,1,0,0,0,0
tatqa_pnl_00062,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00079,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00249,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00212,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00005,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00332,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00083,REPAIR,0,1.0,0,0.01818181818181812,0.01818181818181812,0,0,1,1,2,0,0,0
tatqa_pnl_00154,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00207,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00227,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00276,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00042,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,2
tatqa_pnl_00096,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00239,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00051,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00156,ACCEPT,0,1.0,0,0.043478260869565216,0.043478260869565216,0,0,0,1,0,0,0,0
tatqa_pnl_00200,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00164,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00077,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00238,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00028,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00130,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00046,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00196,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00129,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00068,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00269,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00224,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00001,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00297,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00278,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00339,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00076,ACCEPT,0,1.0,0,0.02417700371354622,0.02417700371354622,0,0,1,1,0,0,0,0
tatqa_pnl_00240,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00282,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00165,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00197,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00069,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00193,ACCEPT,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
tatqa_pnl_00268,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00222,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00030,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00185,ACCEPT,0,1.0,0,0.002665482007996389,0.002665482007996389,0,0,0,1,0,0,0,0
tatqa_pnl_00261,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00003,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00241,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00142,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00065,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00337,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00294,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00290,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00098,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00300,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,3,0,0,0
tatqa_pnl_00271,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00153,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00264,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00323,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00262,ACCEPT,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
tatqa_pnl_00295,ACCEPT,0,1.0,0,0.04160054409430968,0.04160054409430968,0,0,0,1,0,0,0,0
tatqa_pnl_00161,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00040,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00273,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00221,ACCEPT,0,1.0,0,0.01370407149950357,0.01370407149950357,0,0,0,1,0,0,0,0
tatqa_pnl_00352,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00306,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00298,REPAIR,0,1.0,0,0.0,0.0,0,0,0,1,3,0,0,0
tatqa_pnl_00257,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00131,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00299,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,3,0,0,0
