case_id,label,source,unsupported_claims_count,coverage_ratio,recomputation_fail_count,max_relative_error,mean_relative_error,scale_mismatch_count,period_mismatch_count,ambiguity_count,pnl_table_detected,pnl_identity_fail_count,pnl_margin_fail_count,pnl_missing_baseline_count,pnl_period_strict_mismatch_count,near_tolerance_flag,grounding_confidence_score,claim_count
tatqa_pnl_00103,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00150,ACCEPT,tatqa_gold,0,1.0,0,0.01897810218978102,0.01897810218978102,0,0,0,1,0,0,0,0,1,0.8128,1
tatqa_pnl_00192,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00266,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,1
tatqa_pnl_00138,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.0,1
tatqa_pnl_00342,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00330,ACCEPT,tatqa_gold,0,1.0,0,0.0225806451612903,0.0225806451612903,0,0,0,1,0,0,0,0,1,0.7427,1
tatqa_pnl_00139,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.0,1
tatqa_pnl_00237,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,1
tatqa_pnl_00350,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.0,1
tatqa_pnl_00137,ACCEPT,tatqa_gold,0,1.0,0,0.038108757370604936,0.038108757370604936,0,0,1,1,0,0,0,0,1,0.5736,1
tatqa_pnl_00190,ACCEPT,tatqa_gold,0,1.0,0,0.009505703422053232,0.009505703422053232,0,0,1,1,0,0,0,0,0,0.725,1
tatqa_pnl_00187,ACCEPT,tatqa_gold,0,1.0,0,0.02134502923976599,0.02134502923976599,0,0,1,1,0,0,0,0,1,0.5832,1
tatqa_pnl_00338,ACCEPT,tatqa_gold,0,1.0,0,0.0034795168067226893,0.0034795168067226893,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00149,ACCEPT,tatqa_gold,0,1.0,0,0.015285599356395816,0.015285599356395816,0,0,0,1,0,0,0,0,1,0.6589,1
tatqa_pnl_00024,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.0,1
tatqa_pnl_00186,ACCEPT,tatqa_gold,0,1.0,0,0.01281735272368753,0.01281735272368753,0,0,0,1,0,0,0,0,1,0.8898,1
tatqa_pnl_00151,ACCEPT,tatqa_gold,0,1.0,0,0.04184549356223176,0.04184549356223176,0,0,0,1,0,0,0,0,1,0.5269,1
tatqa_pnl_00236,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,1
tatqa_pnl_00184,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0,0,0.925,1
tatqa_pnl_00050,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,1
tatqa_pnl_00340,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00347,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00080,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.825,1
tatqa_pnl_00343,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,1
tatqa_pnl_00302,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.0,1
tatqa_pnl_00230,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.0,1
tatqa_pnl_00215,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.0,1
tatqa_pnl_00346,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00102,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00259,ACCEPT,tatqa_gold,0,1.0,0,0.008017620272559464,0.008017620272559464,0,0,1,1,0,0,0,0,0,1.0,1
tatqa_pnl_00017,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.0,1
tatqa_pnl_00217,ACCEPT,tatqa_gold,0,1.0,0,0.0020000000000000282,0.0020000000000000282,0,0,0,1,0,0,0,0,0,0.9,1
tatqa_pnl_00303,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.0,1
tatqa_pnl_00045,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,1
tatqa_pnl_00141,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
