case_id,source,split,decision,unsupported_claims_count,coverage_ratio,recomputation_fail_count,max_relative_error,mean_relative_error,scale_mismatch_count,period_mismatch_count,ambiguity_count,pnl_table_detected,pnl_identity_fail_count,pnl_margin_fail_count,pnl_missing_baseline_count,pnl_period_strict_mismatch_count
case_050,synthetic,train,FLAG,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,4
case_081,synthetic,train,REPAIR,0,1.0,0,0.014492753623188406,0.014492753623188406,1,0,0,1,0,0,0,0
case_048,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
case_002,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_041,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_042,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_044,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_033,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_024,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_019,synthetic,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
case_046,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_068,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_008,synthetic,train,FLAG,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,4
case_035,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_069,synthetic,train,ACCEPT,0,1.0,0,0.014492753623188406,0.014492753623188406,0,0,0,1,0,0,0,0
case_003,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_017,synthetic,train,FLAG,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,4
case_039,synthetic,train,REPAIR,0,1.0,0,0.0,0.0,1,0,0,1,0,0,0,0
case_043,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_023,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_047,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_025,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_006,synthetic,train,ACCEPT,0,1.0,0,0.008064516129032258,0.008064516129032258,0,0,0,1,0,0,0,0
case_007,synthetic,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_059,synthetic,train,FLAG,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,4
case_077,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_010,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_061,synthetic,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
case_022,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_076,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_045,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_011,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_060,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_049,synthetic,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_001,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00331,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00066,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00345,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00286,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00181,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00301,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,3,0,0,0
tatqa_pnl_00163,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00211,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00272,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00105,tatqa_gold,train,ACCEPT,0,1.0,0,0.0117647058823529,0.0117647058823529,0,0,1,1,0,0,0,0
tatqa_pnl_00166,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00265,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00314,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00344,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00231,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00213,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00089,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00324,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,2,0,0,0
tatqa_pnl_00178,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00090,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,2,0,0,0
tatqa_pnl_00091,tatqa_gold,train,REPAIR,0,1.0,0,0.004702194357366727,0.004702194357366727,0,0,0,1,2,0,0,0
tatqa_pnl_00255,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00226,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00228,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00067,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00047,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00312,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00073,tatqa_gold,train,ACCEPT,0,1.0,0,1.2688263138573217e-16,1.2688263138573217e-16,0,0,0,1,0,0,0,0
tatqa_pnl_00086,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00218,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00220,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00054,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00027,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00263,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00223,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00209,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00260,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00026,tatqa_gold,train,ACCEPT,0,1.0,0,0.03420114952075616,0.03420114952075616,0,0,1,1,0,0,0,0
tatqa_pnl_00281,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00287,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00039,tatqa_gold,train,FLAG,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,2
tatqa_pnl_00183,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00325,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,2,0,0,0
tatqa_pnl_00147,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00354,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00075,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00011,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00252,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00169,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00081,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00214,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00180,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00119,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00219,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00097,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00092,tatqa_gold,train,REPAIR,0,1.0,0,0.04048582995951417,0.04048582995951417,0,0,1,1,2,0,0,0
tatqa_pnl_00035,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00317,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00038,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00326,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,2,0,0,0
tatqa_pnl_00333,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00202,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00114,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00020,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00078,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00095,tatqa_gold,train,ACCEPT,0,1.0,0,0.0072460315096643324,0.0072460315096643324,0,0,0,1,0,0,0,0
tatqa_pnl_00304,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00140,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00277,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00315,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00289,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00049,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00158,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
tatqa_pnl_00107,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00106,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00199,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00313,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00128,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00229,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00174,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00152,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00012,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00291,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00070,tatqa_gold,train,ACCEPT,0,1.0,0,0.021400778210116732,0.021400778210116732,0,0,1,1,0,0,0,0
tatqa_pnl_00253,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
tatqa_pnl_00210,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00285,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00071,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00144,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00010,tatqa_gold,train,REPAIR,0,1.0,0,0.020171387979916047,0.020171387979916047,0,0,1,1,2,0,0,0
tatqa_pnl_00245,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00349,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00247,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00244,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00208,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00160,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00251,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00216,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00100,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00123,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00032,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00335,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00157,tatqa_gold,train,ACCEPT,0,1.0,0,0.04,0.04,0,0,0,1,0,0,0,0
tatqa_pnl_00044,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00155,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00159,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00008,tatqa_gold,train,REPAIR,0,1.0,0,0.018895909006334286,0.018895909006334286,0,0,1,1,2,0,0,0
tatqa_pnl_00121,tatqa_gold,train,ACCEPT,0,1.0,0,0.02536997885835095,0.02536997885835095,0,0,0,1,0,0,0,0
tatqa_pnl_00205,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00279,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00148,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00007,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00094,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00320,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00060,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00124,tatqa_gold,train,ACCEPT,0,1.0,0,0.01621972430622258,0.01621972430622258,0,0,0,1,0,0,0,0
tatqa_pnl_00246,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00201,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00056,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00171,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00336,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00242,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
tatqa_pnl_00025,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00318,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00104,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00134,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00101,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00063,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00168,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00267,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00198,tatqa_gold,train,ACCEPT,0,1.0,0,0.04068891280947255,0.04068891280947255,0,0,0,1,0,0,0,0
tatqa_pnl_00319,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00258,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00061,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00132,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00176,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00085,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,2,0,0,0
tatqa_pnl_00009,tatqa_gold,train,REPAIR,0,1.0,0,0.018091520318794053,0.018091520318794053,0,0,1,1,2,0,0,0
tatqa_pnl_00172,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00145,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00341,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00019,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00002,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00248,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00059,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00225,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00006,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00087,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00232,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00353,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00307,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00031,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00116,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00133,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00308,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00191,tatqa_gold,train,ACCEPT,0,1.0,0,0.019259259259259243,0.019259259259259243,0,0,0,1,0,0,0,0
tatqa_pnl_00250,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00321,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00293,tatqa_gold,train,ACCEPT,0,1.0,0,0.04595814526056623,0.04595814526056623,0,0,0,1,0,0,0,0
tatqa_pnl_00189,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00055,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00234,tatqa_gold,train,ACCEPT,0,1.0,0,0.008888888888888898,0.008888888888888898,0,0,0,1,0,0,0,0
tatqa_pnl_00243,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
tatqa_pnl_00188,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00204,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00043,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00351,tatqa_gold,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00122,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00170,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00033,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00284,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00018,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00125,tatqa_gold,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00022,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00021,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00146,tatqa_gold,train,ACCEPT,0,1.0,0,0.010653702937525858,0.010653702937525858,0,0,1,1,0,0,0,0
tatqa_pnl_00179,tatqa_gold,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
tatqa_pnl_00015,tatqa_gold,train,ACCEPT,0,1.0,0,0.03840519045625785,0.03840519045625785,0,0,0,1,0,0,0,0
